N,beta1,beta2,beta3,cor_xm,rel,method,par,bias,rmse,rse_bias,std_bias,REPLICATIONS,N_lab,beta1_lab,beta2_lab,beta3_lab,cor_xm_lab,rel_lab
100,1,0.9,0.75,0.6,0.8,rapi,ym,-0.020447362758807545,0.15783313245305455,-0.060514850945210696,-0.13032449502517499,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.75,0.6,0.8,rapi,yx,0.01679967210302096,0.15816904362348014,-0.0686047322928649,0.10655025168394373,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.75,0.6,0.8,tspa,yint,0.015950938689618145,0.1164916442293029,-0.08219447871399033,0.13788372288464387,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.75,0.6,0.8,tspa,ym,-0.02028283679842361,0.1578405169704588,-0.08316416241842572,-0.12925203312606057,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.75,0.6,0.8,tspa,yx,0.011306967811855933,0.15840833367768448,-0.09595616699156151,0.07138202163571304,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.75,0.6,0.8,upi,yint,0.012797848554867413,0.13228086142550657,-0.21417472489153677,0.09696021765811103,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.75,0.6,0.8,upi,ym,-0.01483720782926804,0.15688438366746274,-0.08529304571100327,-0.09476216322354677,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.75,0.6,0.8,upi,yx,0.01173777691664428,0.15678603400056865,-0.087818273172929,0.07488770104922099,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.75,0.6,0.9,rapi,yint,-0.004847818158766066,0.1015182450760904,-0.14740455292479582,-0.04768804299671694,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
100,1,0.9,0.75,0.6,0.9,rapi,ym,6.57659061909278e-4,0.1308911624444478,-0.055667348046132714,0.005011958962316979,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
