N,beta1,beta2,beta3,cor_xm,rel,method,par,convergence_rate,coverage,outlier_se,raw_bias,raw_rse_bias,rmse,std_bias,stdMed_bias,stdMed_rse_bias,trim_bias,trim_rse_bias,REPLICATIONS,N_lab,beta1_lab,beta2_lab,beta3_lab,cor_xm_lab,rel_lab
250,1,0.9,0.75,0,0.9,tspa,yint,1,0.9425,1.4000000000000001,-9.959111631641382e-5,-0.019722283869317514,0.06764322522276604,-0.0014719334125452314,-0.030087614797140484,0.026403838145208747,-0.0014974427104774701,-0.024119400601681495,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
250,1,0.9,0.75,0,0.9,upi,yint,1,0.9435,1.5,3.5464393762943126e-4,-0.023771371625456394,0.07305595606618938,0.004853258547749164,-0.05588215315816874,0.027357284657245184,-0.0029692488858180655,-0.034439909455733275,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
250,1,0.9,0.75,0.3,0.7,rapi,yint,1,0.972,5.4,0.022834717790980032,0.06853605453162159,0.11309527750400551,0.20610113610715727,0.13817413975259693,0.08890896238372825,0.01450346437045319,-0.016864362287289603,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
250,1,0.9,0.75,0.3,0.7,tspa,yint,1,0.937,3.8,0.009791667085386827,-0.09873444852380953,0.10252017493964694,0.09592429755772731,0.0391763863482563,-0.05953875893882343,0.0044244788237050026,-0.13608270381878662,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
250,1,0.9,0.75,0.3,0.7,upi,yint,1,0.923,3.6999999999999997,0.013538505466500605,-0.04979713802632657,0.1377211555894376,0.0987575029921383,-0.018007931932423286,-0.027133743074229777,0.0018656433890848478,-0.12540931691005475,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
250,1,0.9,0.75,0.3,0.8,rapi,yint,1,0.9695,2.5,0.00685555643274802,0.08273555582877812,0.07693027309396994,0.08944748773943427,0.06556906620653383,0.05722613636434737,0.004571556555397205,0.059631078022757134,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
250,1,0.9,0.75,0.3,0.8,tspa,yint,1,0.949,1.8499999999999999,3.763395593096155e-4,-0.030460136809727922,0.0746979456856378,0.005036955627188282,-0.018177661312558865,-0.03759281604038556,-0.0016771669900021435,-0.042296861721894063,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
250,1,0.9,0.75,0.3,0.8,upi,yint,1,0.9385,3.3000000000000003,0.004929663742141726,-0.06317899152576634,0.09569555586607276,0.051569620433691926,-0.024449201340590327,-0.07114370410214998,-0.0017694281994724004,-0.10154575200589278,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
250,1,0.9,0.75,0.3,0.9,rapi,yint,1,0.961,1.6500000000000001,0.0036404787047707725,0.03179390913359126,0.06377530984171302,0.05716181853981022,0.01640411734584702,0.037481155771736274,0.0016374967677605379,0.02432152679628463,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
250,1,0.9,0.75,0.3,0.9,tspa,yint,1,0.949,1.3,2.4332827680698118e-4,-0.01983150784730847,0.0629513184045537,0.003864402853342391,-0.042462255381477375,-0.0015320753569127987,-0.001702016164178144,-0.024545310812956522,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
