N,beta1,beta2,beta3,cor_xm,rel,method,par,convergence_rate,coverage,raw_bias,raw_rse_bias,rmse,robust_rse_bias,std_bias,stdMed_bias,trimm_bias,REPLICATIONS,N_lab,beta1_lab,beta2_lab,beta3_lab,cor_xm_lab,rel_lab
100,1,0.9,0.8,0.6,0.9,upi,yint,1,0.957,8.4666609902343e-4,0.052019523435511195,0.09466989496826511,0.5874830175600532,0.00894147246653977,0.011306321941682539,8.867229125809617e-4,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.6,Reliability == 0.9
100,1,0.9,0.85,0,0.7,rapi,yint,1,0.8785000000000001,0.03243963111589467,0.8581832379029226,0.45381982664114984,0.31063461572174766,0.071646703876271145,-0.14487724247536785,-0.019126554542914398,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.85,0,0.7,tspa,yint,1,0.9495,0.02467752053000612,-0.1706801878133346,0.29134677406532034,0.4000800893453398,0.08498576991552464,-0.04460835844304601,-0.003079015879698721,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.85,0,0.7,upi,yint,1,0.966,0.08161956528505536,-0.3270858841036596,0.6399383038155751,0.5906553407970152,0.12856092569116054,0.12639996392124103,0.030062880805995118,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.85,0,0.8,rapi,yint,1,0.922,0.02012058281835566,-0.08641661416016733,0.1850250219349389,0.3490966803254161,0.10936659070149563,-0.02316616632385534,5.638632468735749e-4,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.85,0,0.8,tspa,yint,1,0.9555,0.009682112788480112,-0.05374456996346422,0.14331955502101423,0.4261392587210098,0.0676938752704797,0.02521123354320708,0.004268828893125853,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.85,0,0.8,upi,yint,1,0.972,0.023624558416689524,0.03889636576456712,0.15673290056149003,0.5276376665001365,0.15243525008619604,0.10634692561882944,0.016122606441278775,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.85,0,0.9,rapi,yint,1,0.9359999999999999,0.0033874391296615045,-0.05294013042731449,0.12772941985278377,0.434701058622041,0.026523127936017955,-0.0458124935352567,-0.00213666339107077,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.85,0,0.9,tspa,yint,1,0.9405,2.0688465143600023e-4,-0.02597345933678341,0.114986284512469,0.4814144598021508,0.0017987646044916267,9.10044414448898e-4,-0.0012298428876160172,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.85,0,0.9,upi,yint,1,0.9545,0.006153648780109294,0.011220879404871154,0.11818046784389041,0.5076757884764884,0.05212762586766938,0.028977139961400198,0.0037138222118393016,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0,Reliability == 0.9
